"dep","dur","mem","jour","temp","prec","pointe"
2021-07-10 14:50:16,1614,0,"samedi",19,0,3
2021-07-17 00:35:54,1294,0,"samedi",21.7,0,3
2021-07-17 03:25:09,1932,0,"samedi",21.7,0,3
2021-07-10 13:50:02,854,0,"samedi",19,0,3
2021-07-31 17:50:16,351,0,"samedi",17.9,0,2
2021-07-17 17:36:15,960,0,"samedi",21.7,0,2
2021-07-03 17:07:37,1471,0,"samedi",16.5,0,2
2021-07-31 18:54:15,2101,0,"samedi",17.9,0,2
2021-07-24 18:19:50,3063,0,"samedi",21.9,0.6,2
2021-08-28 07:55:24,459,0,"samedi",18.9,0,1
2021-08-28 09:11:31,534,0,"samedi",18.9,0,1
2021-08-14 09:26:19,218,0,"samedi",20.9,0.2,1
2021-08-07 09:07:56,1101,0,"samedi",23.6,0.8,1
2021-08-14 09:08:52,388,0,"samedi",20.9,0.2,1
2021-08-21 12:20:26,666,0,"samedi",27.5,0,3
2021-08-21 23:53:21,729,0,"samedi",27.5,0,3
2021-08-28 23:26:40,472,0,"samedi",18.9,0,3
2021-08-14 19:21:54,384,0,"samedi",20.9,0.2,3
2021-08-21 22:49:29,930,0,"samedi",27.5,0,3
2021-08-14 17:44:06,952,0,"samedi",20.9,0.2,2
2021-08-14 16:00:02,1093,0,"samedi",20.9,0.2,2
2021-08-14 17:21:29,531,0,"samedi",20.9,0.2,2
2021-08-07 15:38:04,976,0,"samedi",23.6,0.8,2
2021-08-07 17:39:31,1996,0,"samedi",23.6,0.8,2
2021-09-11 06:51:32,840,0,"samedi",18.4,0,1
2021-09-18 09:44:16,649,0,"samedi",18.7,0,1
2021-09-18 08:10:52,463,0,"samedi",18.7,0,1
2021-09-25 09:37:23,343,0,"samedi",16.7,0,1
2021-09-04 08:48:34,1449,0,"samedi",19,0,1
2021-09-04 12:48:03,1227,0,"samedi",19,0,3
2021-09-11 14:08:23,1199,0,"samedi",18.4,0,3
2021-09-11 13:39:03,1135,0,"samedi",18.4,0,3
2021-09-11 20:14:19,1180,0,"samedi",18.4,0,3
2021-09-25 02:27:15,436,0,"samedi",16.7,0,3
